,G,AB,SO,SF,HBP,IBB,SH,BB,H,SB,RBI,HR,2B,3B,RunRating
smithbo02,742,1689,110,0,1,0,51,52,409,16,166,5,64,17,1
smithbo04,476,962,154,7,3,6,7,55,234,5,96,13,35,5,1
smithbo06,258,826,268,6,8,1,4,70,192,11,107,21,29,4,0
smithbr01,365,496,140,3,0,0,77,29,76,1,37,3,12,0,0
smithch02,218,447,27,0,5,0,27,11,67,0,22,1,5,1,0
smithch04,771,2484,565,20,14,19,38,130,594,7,281,69,83,18,1
smithdw01,813,1807,334,11,13,8,6,150,497,42,226,46,88,20,1
smithea01,495,1580,127,0,9,0,62,82,429,36,187,9,72,32,1
smithea02,860,2264,106,0,11,0,47,247,686,18,355,46,115,19,1
smithed04,284,531,105,0,0,0,28,37,100,2,29,1,18,2,0
smithel01,1234,4684,139,0,42,0,38,636,1454,232,663,37,196,136,4
smithel02,1012,3195,359,0,16,0,99,319,881,54,541,70,181,62,2
smithfr03,369,766,48,0,13,0,36,64,156,3,85,2,41,9,0
smithfr05,438,1422,219,0,9,0,43,133,321,58,158,8,39,25,1
smithge01,1710,6552,288,0,16,0,19,408,1592,235,797,47,251,94,4
smithge04,217,634,142,3,5,7,5,59,130,9,57,9,27,6,0
smithha03,343,1004,14,0,12,0,32,55,214,23,89,2,22,7,0
smithha08,879,2682,361,29,14,12,20,196,715,7,323,58,148,10,1
smithha09,570,1697,128,7,3,33,13,102,437,6,172,23,63,8,1
smithhe01,311,1126,0,0,8,0,31,51,268,54,91,3,42,7,1
smithja03,1406,4532,348,0,22,0,138,334,1301,228,382,40,182,71,4
smithja05,278,576,181,2,5,1,12,23,122,9,60,17,15,10,0
smithji01,370,1127,186,0,7,0,40,63,247,18,108,12,32,15,1
smithlo01,1613,5170,849,46,92,19,21,623,1488,370,533,98,273,58,4
smithma03,414,959,211,11,11,4,3,97,233,15,130,32,51,3,1
smithoz01,2573,9396,589,63,33,79,214,1072,2460,580,793,28,402,69,4
smithpa03,223,562,44,0,4,1,15,42,152,3,56,7,16,7,0
smithph01,148,472,13,0,4,0,0,54,118,17,47,2,16,10,0
smithpo01,1112,4238,345,0,60,0,0,325,941,169,358,24,141,87,3
smithre02,1117,3907,415,0,34,0,156,420,1087,117,514,27,208,49,2
smithre06,1987,7033,1030,86,33,115,8,890,2020,137,1092,314,363,57,4
smithse01,1001,2874,629,25,24,29,2,347,755,20,363,97,190,31,2
smithsh01,381,709,134,0,4,0,23,30,165,4,60,6,24,10,0
smithto03,170,500,60,0,3,0,35,95,90,13,26,1,12,2,0
smithwa01,201,510,72,0,8,0,13,53,117,12,53,2,15,11,0
smithwi02,691,1654,284,15,9,20,9,107,410,20,211,46,63,21,1
smithza01,386,551,108,1,2,0,72,13,87,1,32,0,12,2,0
